nome,genero,data_nascimento,salario_bruto,quant_viagem,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
FÁBIO LUIZ SCHIOCHET FILHO,M,31/05/1988,"R$
                                                            33.763,00",0,85 dias,4 dias,3 dias,20 reuniões,5 reuniões,2 reuniões,"R$ 376.844,53","R$ 37.195,31","R$ 41.648,60","R$ 42.043,11","R$ 46.815,31","R$ 43.700,43","R$ 50.091,13","R$ 31.304,74","R$ 25.939,12","R$ 21.593,26","R$ 32.923,73","R$ 3.589,79",,"111.568,63","111.568,63","111.568,63","111.568,63","111.568,63","111.544,55","111.526,14","111.107,56","111.107,56","110.990,16",,
ALTINEU CÔRTES FREITAS COUTINHO,M,13/09/1968,"R$
                                                            33.763,00",0,70 dias,0 dias,22 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 186.690,17","R$ 22.950,23","R$ 23.219,48","R$ 33.714,07","R$ 29.471,47","R$ 28.820,90","R$ 22.012,04","R$ 2.946,96","R$ 3.780,62","R$ 1.343,75","R$ 17.254,49","R$ 1.176,16",,"101.858,85","106.309,60","106.309,60","108.949,45","109.609,41","109.433,70","108.595,22","111.471,57","111.471,57","111.471,57",,
AMARO ROCHA NASCIMENTO NETO,M,04/12/1976,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,20 reuniões,7 reuniões,0 reuniões,"R$ 274.104,12","R$ 42.292,73","R$ 23.497,16","R$ 34.426,77","R$ 47.806,82","R$ 44.977,07","R$ 20.179,17","R$ 24.764,49","R$ 7.547,57","R$ 18.792,57","R$ 8.484,32","R$ 1.335,45",,"111.222,90","111.222,90","111.222,90","111.222,90","111.222,90","110.933,36","111.259,27","111.259,27","111.259,27","111.259,27",,
ANDRE DOS SANTOS ABDON,M,10/11/1970,"R$
                                                            33.763,00",0,90 dias,2 dias,0 dias,5 reuniões,40 reuniões,0 reuniões,"R$ 401.346,39","R$ 39.635,39","R$ 56.554,49","R$ 50.324,98","R$ 62.832,08","R$ 41.453,80","R$ 28.539,51","R$ 28.094,20","R$ 30.183,38","R$ 21.202,11","R$ 38.003,15","R$ 4.523,30",,"111.623,17","111.623,17","110.842,44","110.847,15","110.559,33","111.023,24","110.484,74","111.194,25","111.641,56","110.684,69",,
ANDRÉ PEIXOTO FIGUEIREDO LIMA,M,10/11/1966,"R$
                                                            33.763,00",0,87 dias,0 dias,5 dias,72 reuniões,23 reuniões,9 reuniões,"R$ 392.555,80","R$ 34.462,62","R$ 48.224,65","R$ 72.127,49","R$ 49.023,71","R$ 44.041,52","R$ 37.230,57","R$ 31.041,15","R$ 43.503,48","R$ 11.633,85","R$ 21.266,76",,,"111.397,30","109.731,85","111.580,84","111.580,84","106.864,96","109.042,51","109.730,58","109.931,92","110.707,37","110.035,63",,
ANDRÉ CARLOS ALVES DE PAULA FILHO,M,22/07/1961,"R$
                                                            33.763,00",0,76 dias,0 dias,16 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 340.822,48","R$ 34.262,23","R$ 35.056,09","R$ 41.491,46","R$ 36.132,62","R$ 46.281,81","R$ 38.561,19","R$ 41.546,24","R$ 23.271,30","R$ 16.356,59","R$ 27.862,95",,,"109.116,87","111.004,52","111.278,47","111.611,12","110.204,24","109.741,82","111.647,49","111.424,82","111.426,29","110.149,04",,
ANDRE LUIZ CARVALHO RIBEIRO,M,27/08/1989,"R$
                                                            33.763,00",0,63 dias,0 dias,29 dias,2 reuniões,8 reuniões,1 reuniões,"R$ 293.299,00","R$ 24.003,48","R$ 26.127,61","R$ 39.048,96","R$ 35.638,26","R$ 42.647,02","R$ 37.783,22","R$ 29.531,60","R$ 32.503,83","R$ 19.736,89","R$ 6.278,13",,,"111.010,61","111.270,57","111.617,19","111.617,19","111.617,19","110.019,66","106.829,30","111.501,94","111.501,94","111.501,94",,
ALUISIO GUIMARAES MENDES FILHO,M,11/11/1961,"R$
                                                            33.763,00",0,89 dias,2 dias,1 dias,72 reuniões,22 reuniões,0 reuniões,"R$ 317.362,69","R$ 25.340,80","R$ 36.588,93","R$ 41.060,22","R$ 31.580,50","R$ 47.983,46","R$ 29.134,59","R$ 32.169,00","R$ 33.370,12","R$ 18.433,71","R$ 21.701,36",,,"100.867,02","99.710,02","103.375,35","105.273,59","107.753,29","105.155,90","106.424,88","107.753,29","108.904,58","109.081,70",,
ANDRE LUIS GASPAR JANONES,M,05/05/1984,"R$
                                                            33.763,00",0,87 dias,4 dias,1 dias,50 reuniões,12 reuniões,1 reuniões,"R$ 303.629,95","R$ 22.256,52","R$ 30.867,91","R$ 30.909,27","R$ 30.603,82","R$ 51.016,32","R$ 28.645,22","R$ 24.293,97","R$ 31.050,13","R$ 25.058,33","R$ 26.341,83","R$ 2.586,63",,"111.562,47","109.429,47","111.562,47","111.562,47","111.562,47","111.562,47","111.562,47","111.562,47","111.574,59","111.635,21",,
ANDRÉ FERREIRA RODRIGUES,M,10/12/1972,"R$
                                                            33.763,00",0,71 dias,7 dias,14 dias,2 reuniões,0 reuniões,0 reuniões,"R$ 397.066,72","R$ 45.126,24","R$ 53.733,48","R$ 58.870,22","R$ 30.040,51","R$ 48.678,14","R$ 39.121,05","R$ 35.898,03","R$ 34.422,07","R$ 27.181,46","R$ 18.726,94","R$ 5.268,58",,"111.547,27","111.623,19","111.492,29","110.929,67","111.623,22","111.623,22","111.623,22","111.323,26","111.623,22","111.623,22",,
ARTHUR CÉSAR PEREIRA DE LIRA,M,25/06/1969,"R$
                                                            33.763,00",0,74 dias,0 dias,18 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 185.141,73","R$ 16.589,40","R$ 24.456,70","R$ 24.580,67","R$ 25.462,74","R$ 25.368,31","R$ 17.145,09","R$ 10.852,76","R$ 12.044,58","R$ 18.813,51","R$ 9.538,87","R$ 289,10",,"111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72",,
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,M,17/01/1969,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,9 reuniões,22 reuniões,0 reuniões,"R$ 367.577,22","R$ 38.429,43","R$ 62.878,28","R$ 57.315,01","R$ 50.615,34","R$ 39.459,44","R$ 46.092,84","R$ 38.070,01","R$ 25.431,95","R$ 4.766,46","R$ 4.518,46",,,"111.574,71","111.574,71","111.574,71","111.574,71","111.574,71","111.574,71","109.488,06","111.048,56","111.156,18","111.156,18",,
JOSE AROLDO SOUZA MARTINS,M,03/07/1961,"R$
                                                            33.763,00",0,82 dias,3 dias,7 dias,11 reuniões,9 reuniões,3 reuniões,"R$ 300.060,22","R$ 31.512,26","R$ 37.662,65","R$ 36.689,17","R$ 28.982,93","R$ 39.208,71","R$ 34.863,74","R$ 19.929,95","R$ 17.257,74","R$ 27.042,72","R$ 26.910,35",,,"111.647,50","111.647,50","110.268,42","111.611,13","111.611,13","110.803,16","107.763,81","110.182,72","111.647,52","111.647,52",,
ARTHUR DE OLIVEIRA MAIA DA SILVA,M,17/08/1964,"R$
                                                            33.763,00",0,76 dias,10 dias,6 dias,28 reuniões,4 reuniões,3 reuniões,"R$ 380.129,11","R$ 37.726,35","R$ 40.284,32","R$ 38.045,65","R$ 42.004,01","R$ 39.008,65","R$ 42.234,93","R$ 39.329,37","R$ 39.706,79","R$ 28.272,13","R$ 26.618,30","R$ 6.898,61",,"104.391,37","106.164,17","109.590,30","109.514,20","110.873,08","108.274,74","108.274,74","106.502,35","102.202,45","102.475,82",,
ÁTILA SIDNEY LINS ALBUQUERQUE,M,22/11/1950,"R$
                                                            33.763,00",0,70 dias,18 dias,4 dias,10 reuniões,52 reuniões,6 reuniões,"R$ 375.647,89","R$ 40.815,08","R$ 48.656,08","R$ 88.960,10","R$ 25.226,78","R$ 25.627,51","R$ 55.751,96","R$ 39.958,79","R$ 40.308,69","R$ 8.433,75","R$ 1.909,15",,,"111.623,25","110.285,75","109.839,91","110.283,10","110.284,46","111.392,74","111.392,74","108.991,46","106.430,09","111.392,74",,
LUIZ FELIPE BALEIA TENUTO ROSSI,M,09/06/1972,"R$
                                                            33.763,00",0,79 dias,0 dias,13 dias,21 reuniões,16 reuniões,6 reuniões,"R$ 279.480,42","R$ 27.400,21","R$ 27.133,21","R$ 33.713,16","R$ 35.517,65","R$ 26.901,38","R$ 39.593,94","R$ 20.224,43","R$ 23.443,38","R$ 20.430,29","R$ 22.340,88","R$ 2.781,89",,"109.118,18","109.118,18","109.118,18","109.118,18","109.118,18","107.972,95","98.261,16","98.691,06","98.691,06","98.691,06",,
AUREO LIDIO MOREIRA RIBEIRO,M,17/02/1979,"R$
                                                            33.763,00",0,87 dias,4 dias,1 dias,44 reuniões,1 reuniões,0 reuniões,"R$ 246.132,57","R$ 13.290,11","R$ 19.340,29","R$ 37.320,85","R$ 34.360,09","R$ 77.355,81","R$ 25.856,64","R$ 21.729,25","R$ 2.536,72","R$ 3.653,20","R$ 10.644,37","R$ 45,24",,"109.256,70","110.855,41","110.114,53","105.572,72","110.342,51","109.761,58","109.008,81","108.623,14","109.008,81","110.718,00",,
JOSÉ ROBERTO OLIVEIRA FARO,M,20/06/1969,"R$
                                                            33.763,00",0,82 dias,10 dias,0 dias,5 reuniões,17 reuniões,0 reuniões,"R$ 348.358,45","R$ 50.640,64","R$ 51.528,80","R$ 53.130,42","R$ 38.245,47","R$ 56.264,93","R$ 15.343,49","R$ 16.815,59","R$ 14.152,72","R$ 12.879,36","R$ 11.197,03","R$ 28.160,00",,"111.210,84","110.666,21","109.899,05","111.210,84","111.210,84","110.568,67","110.434,02","111.210,84","111.210,84","109.510,45",,
HUMBERTO REZENDE PEREIRA,M,14/11/1977,"R$
                                                            33.763,00",0,87 dias,3 dias,2 dias,29 reuniões,42 reuniões,3 reuniões,"R$ 317.620,57","R$ 31.302,38","R$ 37.733,45","R$ 46.071,17","R$ 46.424,41","R$ 43.050,57","R$ 37.786,28","R$ 29.839,31","R$ 16.128,37","R$ 5.877,55","R$ 23.407,08",,,"111.514,04","111.586,80","110.868,87","111.514,00","111.457,65","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28",,
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,01/02/1982,"R$
                                                            33.763,00",0,77 dias,2 dias,13 dias,18 reuniões,7 reuniões,9 reuniões,"R$ 417.583,23","R$ 38.508,13","R$ 49.871,28","R$ 49.026,92","R$ 51.520,30","R$ 44.584,40","R$ 32.245,60","R$ 35.040,79","R$ 36.239,48","R$ 26.275,26","R$ 54.271,07",,,"111.436,53","111.580,74","111.495,03","111.145,61","111.498,95","111.507,99","111.507,99","111.485,68","111.392,71","111.406,01",,
LUIZ BENES LEOCADIO DE ARAUJO,M,22/04/1966,"R$
                                                            33.763,00",0,88 dias,1 dias,3 dias,35 reuniões,6 reuniões,2 reuniões,"R$ 352.784,66","R$ 32.697,33","R$ 37.181,80","R$ 51.640,86","R$ 47.232,83","R$ 43.851,34","R$ 39.594,20","R$ 33.482,93","R$ 21.709,18","R$ 17.997,68","R$ 27.006,51","R$ 390,00",,"110.203,77","110.203,77","106.658,99","104.203,11","106.527,95","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43",,
AUGUSTO RODRIGUES COUTINHO DE MELO,M,22/10/1962,"R$
                                                            33.763,00",0,87 dias,3 dias,2 dias,39 reuniões,21 reuniões,2 reuniões,"R$ 403.903,52","R$ 45.160,36","R$ 50.282,74","R$ 31.848,38","R$ 47.084,27","R$ 51.557,80","R$ 50.070,10","R$ 37.472,37","R$ 25.761,40","R$ 19.113,74","R$ 31.891,03","R$ 13.661,33",,"109.231,24","110.580,87","111.483,62","106.382,46","107.116,23","110.687,98","104.644,11","107.177,08","106.702,93","104.332,20",,
ALCIBIO MESQUITA BIBO NUNES,M,09/01/1957,"R$
                                                            33.763,00",0,90 dias,0 dias,2 dias,33 reuniões,21 reuniões,2 reuniões,"R$ 442.619,00","R$ 36.377,50","R$ 114.136,35","R$ 111.815,04","R$ 46.216,96","R$ 43.243,88","R$ 31.393,94","R$ 31.363,41","R$ 21.004,27","R$ 5.421,62","R$ 1.646,03",,,"107.838,27","106.661,35","107.626,01","107.100,08","108.678,71","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08",,
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,01/11/1968,"R$
                                                            33.763,00",0,82 dias,0 dias,10 dias,21 reuniões,26 reuniões,10 reuniões,"R$ 395.081,21","R$ 20.679,85","R$ 23.825,08","R$ 34.402,73","R$ 76.284,21","R$ 96.746,00","R$ 27.251,80","R$ 28.044,88","R$ 18.372,93","R$ 31.746,67","R$ 37.651,58","R$ 75,48",,"111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65",,
OLAVO BILAC PINTO NETO,M,08/06/1963,"R$
                                                            33.763,00",0,80 dias,7 dias,5 dias,54 reuniões,7 reuniões,3 reuniões,"R$ 366.957,28","R$ 38.107,55","R$ 39.391,23","R$ 36.766,95","R$ 36.370,18","R$ 36.320,33","R$ 35.989,93","R$ 35.978,06","R$ 36.058,35","R$ 36.004,29","R$ 35.970,41",,,"111.532,26","111.532,26","111.532,26","111.532,26","111.532,26","110.224,07","111.532,26","111.532,26","111.532,26","111.532,26",,
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,03/11/1979,"R$
                                                            33.763,00",0,71 dias,16 dias,5 dias,12 reuniões,14 reuniões,3 reuniões,"R$ 370.012,26","R$ 30.097,59","R$ 41.252,22","R$ 49.713,11","R$ 49.721,69","R$ 45.749,21","R$ 41.212,41","R$ 38.074,00","R$ 37.034,37","R$ 15.768,01","R$ 21.168,63","R$ 221,02",,"107.850,28","108.483,94","109.030,38","109.215,09","109.215,09","107.121,98","105.670,31","109.215,09","109.215,09","109.215,09",,
ELVINO JOSÉ BOHN GASS,M,05/02/1962,"R$
                                                            33.763,00",0,90 dias,0 dias,2 dias,24 reuniões,15 reuniões,0 reuniões,"R$ 362.192,59","R$ 30.693,35","R$ 43.896,78","R$ 51.772,61","R$ 63.215,02","R$ 45.029,72","R$ 40.093,42","R$ 35.113,72","R$ 22.679,14","R$ 13.260,28","R$ 15.328,65","R$ 1.109,90",,"111.641,36","111.557,99","111.508,13","111.641,38","111.641,38","110.811,40","111.604,98","111.604,98","111.604,98","109.839,67",,
NICOLINO BOZZELLA JUNIOR,M,17/08/1980,"R$
                                                            33.763,00",0,83 dias,1 dias,8 dias,42 reuniões,9 reuniões,5 reuniões,"R$ 331.580,49","R$ 31.567,57","R$ 39.636,09","R$ 43.735,10","R$ 36.718,08","R$ 40.304,87","R$ 30.143,90","R$ 40.029,84","R$ 26.482,22","R$ 25.062,37","R$ 16.682,72","R$ 1.217,73",,"111.623,09","111.642,57","107.512,59","110.707,93","111.134,28","111.357,59","110.509,90","111.392,57","111.392,57","111.388,46",,
JOÃO BOSCO DA COSTA,M,28/09/1950,"R$
                                                            33.763,00",0,88 dias,2 dias,2 dias,37 reuniões,9 reuniões,0 reuniões,"R$ 381.415,21","R$ 31.663,79","R$ 50.001,03","R$ 50.347,54","R$ 42.678,14","R$ 42.852,09","R$ 50.270,89","R$ 42.871,55","R$ 39.751,16","R$ 27.086,09","R$ 3.892,93",,,"109.107,22","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","106.200,33","104.641,61","107.654,94",,
JOÃO BOSCO GOMES SARAIVA,M,10/10/1959,"R$
                                                            33.763,00",0,71 dias,18 dias,3 dias,16 reuniões,9 reuniões,1 reuniões,"R$ 442.571,13","R$ 36.572,34","R$ 70.842,66","R$ 44.263,27","R$ 65.965,82","R$ 34.723,62","R$ 32.000,51","R$ 62.345,58","R$ 33.068,34","R$ 15.213,66","R$ 45.530,25","R$ 2.045,08",,"111.611,12","111.611,12","109.394,55","111.611,12","111.611,12","111.393,56","111.146,01","111.574,73","111.574,73","111.210,17",,
ÁTILA FREITAS LIRA,M,07/04/1947,"R$
                                                            33.763,00",0,78 dias,3 dias,11 dias,38 reuniões,16 reuniões,2 reuniões,"R$ 375.012,29","R$ 27.368,18","R$ 28.286,74","R$ 49.504,22","R$ 57.242,97","R$ 40.024,49","R$ 40.329,03","R$ 36.082,10","R$ 39.253,35","R$ 26.915,69","R$ 29.943,26","R$ 62,26",,"111.623,32","111.623,32","111.623,32","111.623,32","111.623,32","111.623,32","111.623,32","111.623,32","111.623,32","111.623,32",,
ALBERTO BARROS CAVALCANTE NETO,M,05/05/1982,"R$
                                                            33.763,00",0,88 dias,2 dias,2 dias,66 reuniões,3 reuniões,1 reuniões,"R$ 268.303,10","R$ 10.761,97","R$ 32.144,12","R$ 50.784,42","R$ 59.974,73","R$ 36.167,69","R$ 18.635,29","R$ 18.846,91","R$ 9.376,93","R$ 3.645,06","R$ 27.765,98","R$ 200,00",,"111.524,06","108.183,95","109.814,87","109.505,49","111.520,15","111.370,71","111.635,38","111.635,38","111.635,38","111.635,38",,
CARLOS CAMILO GÓES CAPIBERIBE,M,23/05/1972,"R$
                                                            33.763,00",0,89 dias,0 dias,3 dias,67 reuniões,20 reuniões,5 reuniões,"R$ 340.932,11","R$ 57.270,81","R$ 54.545,96","R$ 40.139,58","R$ 50.674,76","R$ 29.912,43","R$ 32.899,67","R$ 36.174,05","R$ 9.998,80","R$ 8.076,55","R$ 21.239,50",,,"111.508,06","111.508,06","111.508,06","111.508,06","110.034,25","109.670,30","105.908,91","110.137,58","107.941,38","108.704,50",,
JOSE AUGUSTO ROSA,M,04/10/1966,"R$
                                                            33.763,00",0,85 dias,4 dias,3 dias,29 reuniões,39 reuniões,2 reuniões,"R$ 303.764,68","R$ 32.590,99","R$ 32.708,93","R$ 42.982,94","R$ 38.181,18","R$ 46.093,18","R$ 19.473,47","R$ 21.678,43","R$ 15.614,72","R$ 14.321,17","R$ 37.541,05","R$ 2.578,62",,"111.659,59","110.586,80","107.796,83","111.659,59","111.659,59","111.659,59","110.759,70","110.888,26","111.659,59","111.659,59",,
GUILHERME MURARO DERRITE,M,10/10/1984,"R$
                                                            33.763,00",0,90 dias,2 dias,0 dias,21 reuniões,0 reuniões,0 reuniões,"R$ 318.929,77","R$ 33.369,05","R$ 48.294,13","R$ 42.375,69","R$ 37.535,61","R$ 31.336,58","R$ 34.084,37","R$ 31.084,94","R$ 27.610,70","R$ 13.353,72","R$ 19.884,98",,,"111.429,18","111.429,18","111.078,93","111.198,68","111.198,68","111.198,68","104.902,34","104.902,34","104.902,34","104.902,34",,
WAGNER SOUSA GOMES,M,21/01/1979,"R$
                                                            33.763,00",0,31 dias,2 dias,0 dias,0 reuniões,1 reuniões,0 reuniões,"R$ 202.652,74","R$ 55.521,07","R$ 32.236,66","R$ 11.029,18",,"-R$ 23.938,40",,"R$ 12.950,64","R$ 18.376,97","R$ 6.416,85","R$ 14.045,83","R$ 76.013,94",,"110.473,50","110.107,68","111.586,87","111.652,64","111.665,79","110.952,40","111.665,74","111.665,74","111.665,74","111.304,92",,
FABIO ABREU COSTA,M,31/12/1972,"R$
                                                            33.763,00",0,90 dias,1 dias,1 dias,56 reuniões,9 reuniões,0 reuniões,"R$ 415.287,33","R$ 27.176,43","R$ 43.044,36","R$ 37.886,06","R$ 54.828,28","R$ 65.451,97","R$ 38.676,13","R$ 33.219,21","R$ 38.283,53","R$ 44.917,64","R$ 30.801,48","R$ 1.002,24",,"111.501,54","111.425,25","109.950,47","110.995,45","111.125,87","111.505,00","111.580,82","111.580,83","111.580,83","111.061,64",,
ANTONIO CARLOS GOMES DA SILVA,M,13/06/1972,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,21 reuniões,4 reuniões,2 reuniões,"R$ 273.109,72","R$ 18.748,87","R$ 25.578,63","R$ 34.691,71","R$ 31.224,22","R$ 55.517,35","R$ 34.811,05","R$ 23.121,54","R$ 21.226,21","R$ 9.739,25","R$ 16.929,54","R$ 1.521,35",,"92.948,89","99.271,45","96.032,28","98.637,08","102.490,61","102.621,52","102.621,52","104.715,99","106.679,56","106.679,56",,
CARLOS HENRIQUE AMORIM,M,21/04/1961,"R$
                                                            33.763,00",0,79 dias,12 dias,1 dias,33 reuniões,24 reuniões,1 reuniões,"R$ 379.726,43","R$ 38.480,40","R$ 54.727,25","R$ 51.686,19","R$ 49.827,56","R$ 38.169,71","R$ 34.594,12","R$ 36.583,75","R$ 31.857,00","R$ 13.993,12","R$ 27.863,38","R$ 1.943,95",,"107.089,41","100.838,78","96.663,69","98.112,79","100.925,82","94.627,79","96.910,28","103.302,09","107.870,51","108.426,55",,
Carlos Roberto Coelho de Mattos Júnior,M,08/02/1982,"R$
                                                            33.763,00",0,84 dias,5 dias,3 dias,10 reuniões,0 reuniões,0 reuniões,"R$ 200.049,25","R$ 17.012,14","R$ 21.954,01","R$ 27.544,00","R$ 16.413,28","R$ 29.052,38","R$ 31.940,35","R$ 20.649,20","R$ 10.845,10","R$ 8.771,04","R$ 14.632,54","R$ 1.235,21",,"107.840,49","111.522,26","105.827,62","98.809,78","110.447,03","111.102,14","104.135,41","108.845,03","110.375,04","110.523,12",,
FREDERICO DE CASTRO ESCALEIRA,M,24/03/1977,"R$
                                                            33.763,00",0,83 dias,9 dias,0 dias,24 reuniões,57 reuniões,0 reuniões,"R$ 310.970,98","R$ 31.170,62","R$ 36.914,75","R$ 42.269,93","R$ 38.087,59","R$ 42.514,00","R$ 33.769,22","R$ 28.862,16","R$ 24.728,50","R$ 11.486,99","R$ 20.931,45","R$ 235,77",,"111.212,41","111.201,53","110.944,53","108.641,77","111.313,96","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",,
CARLOS HENRIQUE FOCESI SAMPAIO,M,31/03/1963,"R$
                                                            33.763,00",0,87 dias,4 dias,1 dias,14 reuniões,5 reuniões,0 reuniões,"R$ 317.099,50","R$ 25.615,74","R$ 56.684,49","R$ 51.456,20","R$ 45.438,40","R$ 42.806,53","R$ 22.600,90","R$ 21.181,85","R$ 14.951,58","R$ 15.364,01","R$ 20.999,80",,,"103.852,96","107.767,17","108.820,89","108.820,89","108.689,99","104.762,85","103.243,66","104.762,85","104.762,85","103.901,13",,
JAZIEL PEREIRA DE SOUSA,M,03/05/1961,"R$
                                                            33.763,00",0,69 dias,20 dias,3 dias,12 reuniões,26 reuniões,1 reuniões,"R$ 332.318,98","R$ 53.231,07","R$ 44.873,85","R$ 55.545,89","R$ 35.428,27","R$ 35.377,77","R$ 36.517,71","R$ 20.837,34","R$ 20.773,89","R$ 21.505,53","R$ 8.227,66",,,"111.279,95","111.565,34","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51",,
LUIZ ALBERTO OVANDO,M,25/09/1949,"R$
                                                            33.763,00",0,86 dias,1 dias,5 dias,70 reuniões,12 reuniões,0 reuniões,"R$ 353.911,42","R$ 40.038,05","R$ 41.231,34","R$ 52.947,39","R$ 46.480,82","R$ 47.335,38","R$ 30.870,88","R$ 29.474,27","R$ 27.038,62","R$ 21.752,29","R$ 13.797,33","R$ 2.945,05",,"96.640,72","96.640,72","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62",,
LEONARDO RIBEIRO ALBUQUERQUE,M,14/06/1978,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,27 reuniões,2 reuniões,1 reuniões,"R$ 319.714,69","R$ 42.371,40","R$ 36.053,31","R$ 44.978,86","R$ 51.992,40","R$ 41.703,89","R$ 36.956,95","R$ 29.525,44","R$ 11.128,25","R$ 9.478,35","R$ 15.240,77","R$ 285,07",,"99.981,22","100.959,57","99.231,78","108.961,58","104.982,41","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24",,
CARLOS GOMES BEZERRA,M,04/11/1941,"R$
                                                            33.763,00",0,29 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 192.492,79","R$ 17.099,28","R$ 55.229,53",,,,,"R$ 2.047,03","R$ 848,36","R$ 647,00","R$ 59.074,08","R$ 57.547,51",,"111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","110.884,40","111.611,13","111.611,13","111.611,13",,
ÉDIO VIEIRA LOPES,M,04/01/1952,"R$
                                                            33.763,00",0,71 dias,16 dias,5 dias,18 reuniões,5 reuniões,2 reuniões,"R$ 352.768,46","R$ 42.432,81","R$ 39.836,40","R$ 47.117,63","R$ 54.268,93","R$ 97.784,62","R$ 14.519,68","R$ 22.739,81","R$ 16.900,14","R$ 1.349,74","R$ 15.390,97","R$ 427,73",,"110.495,02","110.495,02","111.469,88","111.408,97","111.368,53","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52",,
EDILAZIO GOMES DA SILVA JUNIOR,M,04/05/1981,"R$
                                                            33.763,00",0,87 dias,0 dias,5 dias,12 reuniões,0 reuniões,1 reuniões,"R$ 274.890,22","R$ 29.645,70","R$ 67.991,37","R$ 21.709,65","R$ 54.054,00","R$ 19.692,50","R$ 28.378,82","R$ 18.023,27","R$ 5.308,77","R$ 14.235,23","R$ 15.850,91",,,"111.402,54","111.185,22","111.659,65","111.166,30","111.659,65","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78",,
ZACARIAS CALIL HAMU,M,05/11/1953,"R$
                                                            33.763,00",0,82 dias,4 dias,6 dias,85 reuniões,27 reuniões,6 reuniões,"R$ 227.743,53","R$ 25.614,66","R$ 32.870,88","R$ 33.504,56","R$ 32.975,66","R$ 32.600,29","R$ 18.394,14","R$ 17.770,75","R$ 7.364,25","R$ 5.479,94","R$ 20.331,91","R$ 836,49",,"83.672,50","77.891,18","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18",,
EDUARDO LUIZ BARROS BARBOSA,M,25/08/1958,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,91 reuniões,17 reuniões,0 reuniões,"R$ 247.845,06","R$ 22.913,32","R$ 25.992,80","R$ 30.951,65","R$ 37.263,00","R$ 34.686,06","R$ 29.255,32","R$ 23.832,28","R$ 9.244,83","R$ 5.608,98","R$ 27.466,51","R$ 630,31",,"111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.485,04",,
JOSE EDUARDO PEREIRA DA COSTA,M,16/02/1968,"R$
                                                            33.763,00",0,83 dias,0 dias,9 dias,10 reuniões,9 reuniões,6 reuniões,"R$ 333.478,23","R$ 37.602,77","R$ 29.483,97","R$ 45.130,56","R$ 42.628,52","R$ 64.988,16","R$ 22.063,45","R$ 21.894,85","R$ 13.694,30","R$ 16.136,05","R$ 37.509,90","R$ 2.345,70",,"111.313,96","111.313,96","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03",,
